样品类型,编号,测量天数,剩磁(mT),温度(℃),相对湿度(%)
小号铁钉,4,15,1.0621,11.5,80
小号铁钉,4,22,0.5864,8.0,70
小号铁钉,4,30,0.3171,10.0,85
小号铁钉,4,37,0.2016,14.0,85
小号铁钉,4,44,0.1213,11.0,70
小号铁钉,4,51,0.0724,13.0,80
小号铁钉,4,58,0.0317,18.0,80
小号铁钉,4,90,0.0017,20.0,80
小号铁钉,5,0,1.9632,9.0,90
小号铁钉,5,1,1.7502,9.0,90
小号铁钉,5,2,1.5683,7.5,85
小号铁钉,5,3,1.4052,7.5,85
小号铁钉,5,4,1.3299,7.5,75
小号铁钉,5,5,1.2554,8.5,80
小号铁钉,5,6,1.1874,9.5,75
小号铁钉,5,7,1.1234,8.5,75
小号铁钉,5,8,1.065,9.0,70
小号铁钉,5,9,1.0049,10.0,80
小号铁钉,5,10,0.9464,9.0,85
小号铁钉,5,11,0.8899,7.0,90
小号铁钉,5,12,0.8384,8.0,85
小号铁钉,5,13,0.7961,11.0,65
小号铁钉,5,14,0.7528,10.5,75
小号铁钉,5,15,0.7099,11.5,80
小号铁钉,5,22,0.392,8.0,70
小号铁钉,5,30,0.2119,10.0,85
小号铁钉,5,37,0.1348,14.0,85
小号铁钉,5,44,0.0811,11.0,70
小号铁钉,5,51,0.0484,13.0,80
小号铁钉,5,58,0.0212,18.0,80
小号铁钉,5,90,0.0012,20.0,80
小号铁钉,6,0,1.9632,9.0,90
小号铁钉,6,1,1.7501,9.0,90
小号铁钉,6,2,1.5682,7.5,85
小号铁钉,6,3,1.4052,7.5,85
小号铁钉,6,4,1.3298,7.5,75
小号铁钉,6,5,1.2554,8.5,80
小号铁钉,6,6,1.1874,9.5,75
小号铁钉,6,7,1.1233,8.5,75
小号铁钉,6,8,1.065,9.0,70
小号铁钉,6,9,1.0049,10.0,80
小号铁钉,6,10,0.9464,9.0,85
小号铁钉,6,11,0.8899,7.0,90
小号铁钉,6,12,0.8384,8.0,85
小号铁钉,6,13,0.7961,11.0,65
小号铁钉,6,14,0.7527,10.5,75
小号铁钉,6,15,0.7099,11.5,80
小号铁钉,6,22,0.3919,8.0,70
小号铁钉,6,30,0.2119,10.0,85
小号铁钉,6,37,0.1348,14.0,85
小号铁钉,6,44,0.0811,11.0,70
小号铁钉,6,51,0.0484,13.0,80
小号铁钉,6,58,0.0212,18.0,80
小号铁钉,6,90,0.0012,20.0,80
小号铁钉,7,0,1.7478,9.0,90
小号铁钉,7,1,1.5581,9.0,90
小号铁钉,7,2,1.3961,7.5,85
小号铁钉,7,3,1.251,7.5,85
小号铁钉,7,4,1.1839,7.5,75
小号铁钉,7,5,1.1176,8.5,80
小号铁钉,7,6,1.0571,9.5,75
小号铁钉,7,7,1.0001,8.5,75
小号铁钉,7,8,0.9481,9.0,70
小号铁钉,7,9,0.8946,10.0,80
小号铁钉,7,10,0.8425,9.0,85
小号铁钉,7,11,0.7923,7.0,90
小号铁钉,7,12,0.7464,8.0,85
小号铁钉,7,13,0.7088,11.0,65
小号铁钉,7,14,0.6701,10.5,75
小号铁钉,7,15,0.632,11.5,80
小号铁钉,7,22,0.3489,8.0,70
小号铁钉,7,30,0.1887,10.0,85
小号铁钉,7,37,0.12,14.0,85
小号铁钉,7,44,0.0722,11.0,70
小号铁钉,7,51,0.0431,13.0,80
小号铁钉,7,58,0.0188,18.0,80
小号铁钉,7,90,0.001,20.0,80
小号铁钉,8,0,3.5256,9.0,90
小号铁钉,8,1,3.143,9.0,90
小号铁钉,8,2,2.8163,7.5,85
小号铁钉,8,3,2.5235,7.5,85
小号铁钉,8,4,2.3882,7.5,75
小号铁钉,8,5,2.2545,8.5,80
小号铁钉,8,6,2.1323,9.5,75
小号铁钉,8,7,2.0173,8.5,75
小号铁钉,8,8,1.9125,9.0,70
小号铁钉,8,9,1.8046,10.0,80
小号铁钉,8,10,1.6995,9.0,85
小号铁钉,8,11,1.5981,7.0,90
小号铁钉,8,12,1.5056,8.0,85
小号铁钉,8,13,1.4297,11.0,65
小号铁钉,8,14,1.3518,10.5,75
小号铁钉,8,15,1.2749,11.5,80
小号铁钉,8,22,0.7039,8.0,70
小号铁钉,8,30,0.3806,10.0,85
小号铁钉,8,37,0.242,14.0,85
小号铁钉,8,44,0.1456,11.0,70
小号铁钉,8,51,0.0869,13.0,80
小号铁钉,8,58,0.038,18.0,80
小号铁钉,8,90,0.0021,20.0,80
小号铁钉,9,0,2.9425,9.0,90
小号铁钉,9,1,2.6231,9.0,90
小号铁钉,9,2,2.3505,7.5,85
小号铁钉,9,3,2.1061,7.5,85
小号铁钉,9,4,1.9932,7.5,75
小号铁钉,9,5,1.8816,8.5,80
小号铁钉,9,6,1.7796,9.5,75
小号铁钉,9,7,1.6837,8.5,75
小号铁钉,9,8,1.5962,9.0,70
小号铁钉,9,9,1.5061,10.0,80
小号铁钉,9,10,1.4184,9.0,85
小号铁钉,9,11,1.3338,7.0,90
小号铁钉,9,12,1.2566,8.0,85
小号铁钉,9,13,1.1932,11.0,65
小号铁钉,9,14,1.1282,10.5,75
小号铁钉,9,15,1.064,11.5,80
小号铁钉,9,22,0.5875,8.0,70
小号铁钉,9,30,0.3176,10.0,85
小号铁钉,9,37,0.202,14.0,85
小号铁钉,9,44,0.1215,11.0,70
小号铁钉,9,51,0.0725,13.0,80
小号铁钉,9,58,0.0317,18.0,80
小号铁钉,9,90,0.0017,20.0,80
小号铁钉,10,0,3.1778,9.0,90
小号铁钉,10,1,2.8329,9.0,90
小号铁钉,10,2,2.5384,7.5,85
小号铁钉,10,3,2.2745,7.5,85
小号铁钉,10,4,2.1526,7.5,75
小号铁钉,10,5,2.0321,8.5,80
小号铁钉,10,6,1.9219,9.5,75
小号铁钉,10,7,1.8183,8.5,75
小号铁钉,10,8,1.7238,9.0,70
小号铁钉,10,9,1.6265,10.0,80
小号铁钉,10,10,1.5319,9.0,85
小号铁钉,10,11,1.4405,7.0,90
小号铁钉,10,12,1.3571,8.0,85
小号铁钉,10,13,1.2886,11.0,65
小号铁钉,10,14,1.2184,10.5,75
小号铁钉,10,15,1.1491,11.5,80
小号铁钉,10,22,0.6344,8.0,70
小号铁钉,10,30,0.343,10.0,85
小号铁钉,10,37,0.2181,14.0,85
小号铁钉,10,44,0.1313,11.0,70
小号铁钉,10,51,0.0783,13.0,80
小号铁钉,10,58,0.0342,18.0,80
小号铁钉,10,90,0.0019,20.0,80
小号铁钉,11,0,1.6653,9.0,90
小号铁钉,11,1,1.4846,9.0,90
小号铁钉,11,2,1.3302,7.5,85
小号铁钉,11,3,1.192,7.5,85
小号铁钉,11,4,1.128,7.5,75
小号铁钉,11,5,1.0649,8.5,80
小号铁钉,11,6,1.0072,9.5,75
小号铁钉,11,7,0.9529,8.5,75
小号铁钉,11,8,0.9034,9.0,70
小号铁钉,11,9,0.8524,10.0,80
小号铁钉,11,10,0.8028,9.0,85
小号铁钉,11,11,0.7549,7.0,90
小号铁钉,11,12,0.7112,8.0,85
小号铁钉,11,13,0.6753,11.0,65
小号铁钉,11,14,0.6385,10.5,75
小号铁钉,11,15,0.6022,11.5,80
小号铁钉,11,22,0.3325,8.0,70
小号铁钉,11,30,0.1798,10.0,85
小号铁钉,11,37,0.1143,14.0,85
小号铁钉,11,44,0.0688,11.0,70
小号铁钉,11,51,0.041,13.0,80
小号铁钉,11,58,0.0179,18.0,80
小号铁钉,11,90,0.001,20.0,80
小号铁钉,12,0,3.7538,9.0,90
小号铁钉,12,1,3.3464,9.0,90
小号铁钉,12,2,2.9986,7.5,85
小号铁钉,12,3,2.6869,7.5,85
小号铁钉,12,4,2.5428,7.5,75
小号铁钉,12,5,2.4004,8.5,80
小号铁钉,12,6,2.2703,9.5,75
小号铁钉,12,7,2.1479,8.5,75
小号铁钉,12,8,2.0363,9.0,70
小号铁钉,12,9,1.9214,10.0,80
小号铁钉,12,10,1.8095,9.0,85
小号铁钉,12,11,1.7016,7.0,90
小号铁钉,12,12,1.6031,8.0,85
小号铁钉,12,13,1.5222,11.0,65
小号铁钉,12,14,1.4393,10.5,75
小号铁钉,12,15,1.3574,11.5,80
小号铁钉,12,22,0.7494,8.0,70
小号铁钉,12,30,0.4052,10.0,85
小号铁钉,12,37,0.2577,14.0,85
小号铁钉,12,44,0.155,11.0,70
小号铁钉,12,51,0.0925,13.0,80
小号铁钉,12,58,0.0405,18.0,80
小号铁钉,12,90,0.0022,20.0,80
小号铁钉,13,0,3.4514,9.0,90
小号铁钉,13,1,3.0768,9.0,90
小号铁钉,13,2,2.757,7.5,85
小号铁钉,13,3,2.4704,7.5,85
小号铁钉,13,4,2.3379,7.5,75
小号铁钉,13,5,2.207,8.5,80
小号铁钉,13,6,2.0874,9.5,75
小号铁钉,13,7,1.9749,8.5,75
小号铁钉,13,8,1.8722,9.0,70
小号铁钉,13,9,1.7666,10.0,80
小号铁钉,13,10,1.6638,9.0,85
小号铁钉,13,11,1.5645,7.0,90
小号铁钉,13,12,1.4739,8.0,85
小号铁钉,13,13,1.3996,11.0,65
小号铁钉,13,14,1.3233,10.5,75
小号铁钉,13,15,1.2481,11.5,80
小号铁钉,13,22,0.6891,8.0,70
小号铁钉,13,30,0.3726,10.0,85
小号铁钉,13,37,0.2369,14.0,85
小号铁钉,13,44,0.1426,11.0,70
小号铁钉,13,51,0.085,13.0,80
小号铁钉,13,58,0.0372,18.0,80
小号铁钉,13,90,0.002,20.0,80
小号铁钉,14,0,2.0871,9.0,90
小号铁钉,14,1,1.8606,9.0,90
小号铁钉,14,2,1.6672,7.5,85
小号铁钉,14,3,1.4939,7.5,85
小号铁钉,14,4,1.4138,7.5,75
小号铁钉,14,5,1.3347,8.5,80
小号铁钉,14,6,1.2623,9.5,75
小号铁钉,14,7,1.1943,8.5,75
小号铁钉,14,8,1.1322,9.0,70
小号铁钉,14,9,1.0683,10.0,80
小号铁钉,14,10,1.0061,9.0,85
小号铁钉,14,11,0.9461,7.0,90
小号铁钉,14,12,0.8913,8.0,85
小号铁钉,14,13,0.8464,11.0,65
小号铁钉,14,14,0.8003,10.5,75
小号铁钉,14,15,0.7547,11.5,80
小号铁钉,14,22,0.4167,8.0,70
小号铁钉,14,30,0.2253,10.0,85
小号铁钉,14,37,0.1433,14.0,85
小号铁钉,14,44,0.0862,11.0,70
小号铁钉,14,51,0.0514,13.0,80
小号铁钉,14,58,0.0225,18.0,80
小号铁钉,14,90,0.0012,20.0,80
小号铁钉,15,0,2.02,9.0,90
小号铁钉,15,1,1.8008,9.0,90
小号铁钉,15,2,1.6136,7.5,85
小号铁钉,15,3,1.4459,7.5,85
小号铁钉,15,4,1.3683,7.5,75
小号铁钉,15,5,1.2917,8.5,80
小号铁钉,15,6,1.2217,9.5,75
小号铁钉,15,7,1.1559,8.5,75
小号铁钉,15,8,1.0958,9.0,70
小号铁钉,15,9,1.0339,10.0,80
小号铁钉,15,10,0.9738,9.0,85
小号铁钉,15,11,0.9157,7.0,90
小号铁钉,15,12,0.8626,8.0,85
小号铁钉,15,13,0.8192,11.0,65
小号铁钉,15,14,0.7745,10.5,75
小号铁钉,15,15,0.7305,11.5,80
小号铁钉,15,22,0.4033,8.0,70
小号铁钉,15,30,0.2181,10.0,85
小号铁钉,15,37,0.1387,14.0,85
小号铁钉,15,44,0.0834,11.0,70
小号铁钉,15,51,0.0498,13.0,80
小号铁钉,15,58,0.0218,18.0,80
小号铁钉,15,90,0.0012,20.0,80
小号铁钉,16,0,2.0235,9.0,90
小号铁钉,16,1,1.8039,9.0,90
小号铁钉,16,2,1.6164,7.5,85
小号铁钉,16,3,1.4484,7.5,85
小号铁钉,16,4,1.3707,7.5,75
小号铁钉,16,5,1.294,8.5,80
小号铁钉,16,6,1.2238,9.5,75
小号铁钉,16,7,1.1578,8.5,75
小号铁钉,16,8,1.0977,9.0,70
小号铁钉,16,9,1.0357,10.0,80
小号铁钉,16,10,0.9754,9.0,85
小号铁钉,16,11,0.9172,7.0,90
小号铁钉,16,12,0.8641,8.0,85
小号铁钉,16,13,0.8206,11.0,65
小号铁钉,16,14,0.7759,10.5,75
小号铁钉,16,15,0.7317,11.5,80
小号铁钉,16,22,0.404,8.0,70
小号铁钉,16,30,0.2184,10.0,85
小号铁钉,16,37,0.1389,14.0,85
小号铁钉,16,44,0.0836,11.0,70
小号铁钉,16,51,0.0499,13.0,80
小号铁钉,16,58,0.0218,18.0,80
小号铁钉,16,90,0.0012,20.0,80
小号铁钉,17,0,2.2893,9.0,90
小号铁钉,17,1,2.0409,9.0,90
小号铁钉,17,2,1.8287,7.5,85
小号铁钉,17,3,1.6386,7.5,85
小号铁钉,17,4,1.5508,7.5,75
小号铁钉,17,5,1.4639,8.5,80
小号铁钉,17,6,1.3846,9.5,75
小号铁钉,17,7,1.31,8.5,75
小号铁钉,17,8,1.2419,9.0,70
小号铁钉,17,9,1.1718,10.0,80
小号铁钉,17,10,1.1036,9.0,85
小号铁钉,17,11,1.0378,7.0,90
小号铁钉,17,12,0.9777,8.0,85
小号铁钉,17,13,0.9284,11.0,65
小号铁钉,17,14,0.8778,10.5,75
小号铁钉,17,15,0.8279,11.5,80
小号铁钉,17,22,0.4571,8.0,70
小号铁钉,17,30,0.2471,10.0,85
小号铁钉,17,37,0.1571,14.0,85
小号铁钉,17,44,0.0946,11.0,70
小号铁钉,17,51,0.0564,13.0,80
小号铁钉,17,58,0.0247,18.0,80
小号铁钉,17,90,0.0014,20.0,80
小号铁钉,18,0,2.7745,9.0,90
小号铁钉,18,1,2.4734,9.0,90
小号铁钉,18,2,2.2163,7.5,85
小号铁钉,18,3,1.9859,7.5,85
小号铁钉,18,4,1.8794,7.5,75
小号铁钉,18,5,1.7742,8.5,80
小号铁钉,18,6,1.678,9.5,75
小号铁钉,18,7,1.5876,8.5,75
小号铁钉,18,8,1.505,9.0,70
小号铁钉,18,9,1.4201,10.0,80
小号铁钉,18,10,1.3374,9.0,85
小号铁钉,18,11,1.2577,7.0,90
小号铁钉,18,12,1.1848,8.0,85
小号铁钉,18,13,1.1251,11.0,65
小号铁钉,18,14,1.0638,10.5,75
小号铁钉,18,15,1.0033,11.5,80
小号铁钉,18,22,0.5539,8.0,70
小号铁钉,18,30,0.2995,10.0,85
小号铁钉,18,37,0.1904,14.0,85
小号铁钉,18,44,0.1146,11.0,70
小号铁钉,18,51,0.0684,13.0,80
小号铁钉,18,58,0.0299,18.0,80
小号铁钉,18,90,0.0016,20.0,80
小号铁钉,19,0,2.5703,9.0,90
小号铁钉,19,1,2.2913,9.0,90
小号铁钉,19,2,2.0532,7.5,85
小号铁钉,19,3,1.8397,7.5,85
小号铁钉,19,4,1.7411,7.5,75
小号铁钉,19,5,1.6436,8.5,80
小号铁钉,19,6,1.5545,9.5,75
小号铁钉,19,7,1.4707,8.5,75
小号铁钉,19,8,1.3943,9.0,70
小号铁钉,19,9,1.3156,10.0,80
小号铁钉,19,10,1.239,9.0,85
小号铁钉,19,11,1.1651,7.0,90
小号铁钉,19,12,1.0976,8.0,85
小号铁钉,19,13,1.0423,11.0,65
小号铁钉,19,14,0.9855,10.5,75
小号铁钉,19,15,0.9295,11.5,80
小号铁钉,19,22,0.5132,8.0,70
小号铁钉,19,30,0.2775,10.0,85
小号铁钉,19,37,0.1764,14.0,85
小号铁钉,19,44,0.1062,11.0,70
小号铁钉,19,51,0.0633,13.0,80
小号铁钉,19,58,0.0277,18.0,80
小号铁钉,19,90,0.0015,20.0,80
小号铁钉,20,0,2.2607,9.0,90
小号铁钉,20,1,2.0154,9.0,90
小号铁钉,20,2,1.8059,7.5,85
小号铁钉,20,3,1.6181,7.5,85
小号铁钉,20,4,1.5314,7.5,75
小号铁钉,20,5,1.4456,8.5,80
小号铁钉,20,6,1.3673,9.5,75
小号铁钉,20,7,1.2936,8.5,75
小号铁钉,20,8,1.2263,9.0,70
小号铁钉,20,9,1.1571,10.0,80
小号铁钉,20,10,1.0898,9.0,85
小号铁钉,20,11,1.0248,7.0,90
小号铁钉,20,12,0.9654,8.0,85
小号铁钉,20,13,0.9168,11.0,65
小号铁钉,20,14,0.8668,10.5,75
小号铁钉,20,15,0.8175,11.5,80
小号铁钉,20,22,0.4513,8.0,70
小号铁钉,20,30,0.244,10.0,85
小号铁钉,20,37,0.1552,14.0,85
小号铁钉,20,44,0.0934,11.0,70
小号铁钉,20,51,0.0557,13.0,80
小号铁钉,20,58,0.0244,18.0,80
小号铁钉,20,90,0.0013,20.0,80
小号铁夹,1,0,2.7773,9.0,90
小号铁夹,1,1,2.4595,9.0,90
小号铁夹,1,2,2.1899,7.5,85
小号铁夹,1,3,1.9498,7.5,85
小号铁夹,1,4,1.8396,7.5,75
小号铁夹,1,5,1.7309,8.5,80
小号铁夹,1,6,1.632,9.5,75
小号铁夹,1,7,1.5392,8.5,75
小号铁夹,1,8,1.4549,9.0,70
小号铁夹,1,9,1.3683,10.0,80
小号铁夹,1,10,1.2843,9.0,85
小号铁夹,1,11,1.2035,7.0,90
小号铁夹,1,12,1.13,8.0,85
小号铁夹,1,13,1.0699,11.0,65
小号铁夹,1,14,1.0085,10.5,75
小号铁夹,1,15,0.948,11.5,80
小号铁夹,1,22,0.5058,8.0,70
小号铁夹,1,30,0.264,10.0,85
小号铁夹,1,37,0.1636,14.0,85
小号铁夹,1,44,0.0957,11.0,70
小号铁夹,1,51,0.0554,13.0,80
小号铁夹,1,58,0.0231,18.0,80
小号铁夹,1,90,0.0011,20.0,80
小号铁夹,2,0,2.0074,9.0,90
小号铁夹,2,1,1.7776,9.0,90
小号铁夹,2,2,1.5828,7.5,85
小号铁夹,2,3,1.4093,7.5,85
小号铁夹,2,4,1.3296,7.5,75
小号铁夹,2,5,1.2511,8.5,80
小号铁夹,2,6,1.1796,9.5,75
小号铁夹,2,7,1.1125,8.5,75
小号铁夹,2,8,1.0515,9.0,70
小号铁夹,2,9,0.989,10.0,80
小号铁夹,2,10,0.9283,9.0,85
小号铁夹,2,11,0.8699,7.0,90
小号铁夹,2,12,0.8167,8.0,85
小号铁夹,2,13,0.7733,11.0,65
小号铁夹,2,14,0.7289,10.5,75
小号铁夹,2,15,0.6852,11.5,80
小号铁夹,2,22,0.3656,8.0,70
小号铁夹,2,30,0.1908,10.0,85
小号铁夹,2,37,0.1183,14.0,85
小号铁夹,2,44,0.0691,11.0,70
小号铁夹,2,51,0.0401,13.0,80
小号铁夹,2,58,0.0167,18.0,80
小号铁夹,2,90,0.0008,20.0,80
小号铁夹,3,0,2.2562,9.0,90
小号铁夹,3,1,1.998,9.0,90
小号铁夹,3,2,1.779,7.5,85
小号铁夹,3,3,1.584,7.5,85
小号铁夹,3,4,1.4944,7.5,75
小号铁夹,3,5,1.4062,8.5,80
小号铁夹,3,6,1.3258,9.5,75
小号铁夹,3,7,1.2504,8.5,75
小号铁夹,3,8,1.1819,9.0,70
小号铁夹,3,9,1.1116,10.0,80
小号铁夹,3,10,1.0433,9.0,85
小号铁夹,3,11,0.9777,7.0,90
小号铁夹,3,12,0.918,8.0,85
小号铁夹,3,13,0.8692,11.0,65
小号铁夹,3,14,0.8192,10.5,75
小号铁夹,3,15,0.7701,11.5,80
小号铁夹,3,22,0.4109,8.0,70
小号铁夹,3,30,0.2145,10.0,85
小号铁夹,3,37,0.1329,14.0,85
小号铁夹,3,44,0.0777,11.0,70
小号铁夹,3,51,0.045,13.0,80
小号铁夹,3,58,0.0188,18.0,80
小号铁夹,3,90,0.0009,20.0,80
小号铁夹,4,0,2.3772,9.0,90
小号铁夹,4,1,2.1051,9.0,90
小号铁夹,4,2,1.8744,7.5,85
小号铁夹,4,3,1.6689,7.5,85
小号铁夹,4,4,1.5745,7.5,75
小号铁夹,4,5,1.4816,8.5,80
小号铁夹,4,6,1.3969,9.5,75
小号铁夹,4,7,1.3175,8.5,75
小号铁夹,4,8,1.2453,9.0,70
小号铁夹,4,9,1.1712,10.0,80
小号铁夹,4,10,1.0993,9.0,85
小号铁夹,4,11,1.0301,7.0,90
小号铁夹,4,12,0.9672,8.0,85
小号铁夹,4,13,0.9158,11.0,65
小号铁夹,4,14,0.8632,10.5,75
小号铁夹,4,15,0.8114,11.5,80
小号铁夹,4,22,0.4329,8.0,70
小号铁夹,4,30,0.226,10.0,85
小号铁夹,4,37,0.1401,14.0,85
小号铁夹,4,44,0.0819,11.0,70
小号铁夹,4,51,0.0474,13.0,80
小号铁夹,4,58,0.0198,18.0,80
小号铁夹,4,90,0.0009,20.0,80
小号铁夹,5,0,2.5234,9.0,90
小号铁夹,5,1,2.2346,9.0,90
小号铁夹,5,2,1.9897,7.5,85
小号铁夹,5,3,1.7715,7.5,85
小号铁夹,5,4,1.6714,7.5,75
小号铁夹,5,5,1.5727,8.5,80
小号铁夹,5,6,1.4828,9.5,75
小号铁夹,5,7,1.3985,8.5,75
小号铁夹,5,8,1.3219,9.0,70
小号铁夹,5,9,1.2432,10.0,80
小号铁夹,5,10,1.1669,9.0,85
小号铁夹,5,11,1.0935,7.0,90
小号铁夹,5,12,1.0267,8.0,85
小号铁夹,5,13,0.9721,11.0,65
小号铁夹,5,14,0.9163,10.5,75
小号铁夹,5,15,0.8613,11.5,80
小号铁夹,5,22,0.4595,8.0,70
小号铁夹,5,30,0.2399,10.0,85
小号铁夹,5,37,0.1487,14.0,85
小号铁夹,5,44,0.0869,11.0,70
小号铁夹,5,51,0.0503,13.0,80
小号铁夹,5,58,0.021,18.0,80
小号铁夹,5,90,0.001,20.0,80
小号铁夹,6,0,3.0598,9.0,90
小号铁夹,6,1,2.7097,9.0,90
小号铁夹,6,2,2.4126,7.5,85
小号铁夹,6,3,2.1482,7.5,85
小号铁夹,6,4,2.0267,7.5,75
小号铁夹,6,5,1.907,8.5,80
小号铁夹,6,6,1.798,9.5,75
小号铁夹,6,7,1.6958,8.5,75
小号铁夹,6,8,1.6029,9.0,70
小号铁夹,6,9,1.5075,10.0,80
小号铁夹,6,10,1.4149,9.0,85
小号铁夹,6,11,1.3259,7.0,90
小号铁夹,6,12,1.245,8.0,85
小号铁夹,6,13,1.1788,11.0,65
小号铁夹,6,14,1.111,10.5,75
小号铁夹,6,15,1.0444,11.5,80
小号铁夹,6,22,0.5572,8.0,70
小号铁夹,6,30,0.2909,10.0,85
小号铁夹,6,37,0.1803,14.0,85
小号铁夹,6,44,0.1054,11.0,70
小号铁夹,6,51,0.061,13.0,80
小号铁夹,6,58,0.0254,18.0,80
小号铁夹,6,90,0.0012,20.0,80
小号铁夹,7,0,2.1055,9.0,90
小号铁夹,7,1,1.8645,9.0,90
小号铁夹,7,2,1.6601,7.5,85
小号铁夹,7,3,1.4781,7.5,85
小号铁夹,7,4,1.3946,7.5,75
小号铁夹,7,5,1.3122,8.5,80
小号铁夹,7,6,1.2372,9.5,75
小号铁夹,7,7,1.1669,8.5,75
小号铁夹,7,8,1.1029,9.0,70
小号铁夹,7,9,1.0373,10.0,80
小号铁夹,7,10,0.9736,9.0,85
小号铁夹,7,11,0.9124,7.0,90
小号铁夹,7,12,0.8567,8.0,85
小号铁夹,7,13,0.8111,11.0,65
小号铁夹,7,14,0.7645,10.5,75
小号铁夹,7,15,0.7187,11.5,80
小号铁夹,7,22,0.3834,8.0,70
小号铁夹,7,30,0.2002,10.0,85
小号铁夹,7,37,0.1241,14.0,85
小号铁夹,7,44,0.0725,11.0,70
小号铁夹,7,51,0.042,13.0,80
小号铁夹,7,58,0.0175,18.0,80
小号铁夹,7,90,0.0008,20.0,80
小号铁夹,8,0,2.6182,9.0,90
小号铁夹,8,1,2.3186,9.0,90
小号铁夹,8,2,2.0644,7.5,85
小号铁夹,8,3,1.8381,7.5,85
小号铁夹,8,4,1.7342,7.5,75
小号铁夹,8,5,1.6318,8.5,80
小号铁夹,8,6,1.5385,9.5,75
小号铁夹,8,7,1.4511,8.5,75
小号铁夹,8,8,1.3715,9.0,70
小号铁夹,8,9,1.2899,10.0,80
小号铁夹,8,10,1.2107,9.0,85
小号铁夹,8,11,1.1346,7.0,90
小号铁夹,8,12,1.0653,8.0,85
小号铁夹,8,13,1.0086,11.0,65
